product_id,website,img_path 1,product_name,clothes,gender,price,color,material,length,size,discount,sales,rate_num,rate_sco,product_path,shop_name
0,shopee,database/product/image003.png,New Trendy Aokang Style Long Sleeve Jacket For High School Boys,Jackets & Coats,Boy,219,Blue,Cotton,Long,"S, M, L, XL, 2XL, 3XL",40%,38,4,"5,0",https://shopee.vn/product/619008111/20393956087,AOKANG
1,shopee,database/product/image004.png,New Trendy Aokang Style Long Sleeve Jacket For High School Boys,Jackets & Coats,Boy,219,Black,Cotton,Long,"S, M, L, XL, 2XL, 3XL",40%,38,4,"5,0",https://shopee.vn/product/619008111/20393956087,AOKANG
2,shopee,database/product/image005.png,Men's and women's hoodie local brand unisex couple loose foreign cotton fleece shirt with oversize thick dark gray hood CLOUDZY DRACULA,Hoodies & Sweatshirts,Unisex,255,Black,"Cotton, Felt",Long,"M, L",51%,6,1.7,"4,7",https://shopee.vn/%C3%81o-hoodie-nam-n%E1%BB%AF-local-brand-unisex-c%E1%BA%B7p-%C4%91%C3%B4i-n%E1%BB%89-ngo%E1%BA%A1i-cotton-form-r%E1%BB%99ng-c%C3%B3-m%C5%A9-x%C3%A1m-%C4%91en-d%C3%A0y-oversize-CLOUDZY-DRACULA-i.909107171.23924629707?sp_atk=9fd1e181-4b41-4d01-b037-034d29721f1d&xptdk=9fd1e181-4b41-4d01-b037-034d29721f1d,CLOUDZY DRACULA
3,shopee,database/product/image006.png,Men's and women's hoodie local brand unisex couple loose foreign cotton fleece shirt with oversize thick dark gray hood CLOUDZY DRACULA,Hoodies & Sweatshirts,Unisex,255,Grey,"Cotton, Felt",Long,"M, L",51%,6,1.7,"4,7",https://shopee.vn/%C3%81o-hoodie-nam-n%E1%BB%AF-local-brand-unisex-c%E1%BA%B7p-%C4%91%C3%B4i-n%E1%BB%89-ngo%E1%BA%A1i-cotton-form-r%E1%BB%99ng-c%C3%B3-m%C5%A9-x%C3%A1m-%C4%91en-d%C3%A0y-oversize-CLOUDZY-DRACULA-i.909107171.23924629707?sp_atk=9fd1e181-4b41-4d01-b037-034d29721f1d&xptdk=9fd1e181-4b41-4d01-b037-034d29721f1d,CLOUDZY DRACULA
4,shopee,database/product/image007.png,Men's and women's hoodie local brand unisex couple loose foreign cotton fleece shirt with oversize thick dark gray hood CLOUDZY DRACULA,Hoodies & Sweatshirts,Unisex,255,Green,"Cotton, Felt",Long,"M, L",51%,6,1.7,"4,7",https://shopee.vn/%C3%81o-hoodie-nam-n%E1%BB%AF-local-brand-unisex-c%E1%BA%B7p-%C4%91%C3%B4i-n%E1%BB%89-ngo%E1%BA%A1i-cotton-form-r%E1%BB%99ng-c%C3%B3-m%C5%A9-x%C3%A1m-%C4%91en-d%C3%A0y-oversize-CLOUDZY-DRACULA-i.909107171.23924629707?sp_atk=9fd1e181-4b41-4d01-b037-034d29721f1d&xptdk=9fd1e181-4b41-4d01-b037-034d29721f1d,CLOUDZY DRACULA
5,shopee,database/product/image008.png,Men's and women's hoodie local brand unisex couple loose foreign cotton fleece shirt with oversize thick dark gray hood CLOUDZY DRACULA,Hoodies & Sweatshirts,Unisex,255,White,"Cotton, Felt",Long,"M, L",51%,6,1.7,"4,7",https://shopee.vn/%C3%81o-hoodie-nam-n%E1%BB%AF-local-brand-unisex-c%E1%BA%B7p-%C4%91%C3%B4i-n%E1%BB%89-ngo%E1%BA%A1i-cotton-form-r%E1%BB%99ng-c%C3%B3-m%C5%A9-x%C3%A1m-%C4%91en-d%C3%A0y-oversize-CLOUDZY-DRACULA-i.909107171.23924629707?sp_atk=9fd1e181-4b41-4d01-b037-034d29721f1d&xptdk=9fd1e181-4b41-4d01-b037-034d29721f1d,CLOUDZY DRACULA
6,shopee,database/product/image009.png,Men's and women's hoodie jacket local brand unisex couple loose foreign cotton fleece jacket with cute thick dark gray hood zip CLOUDZY HD MINION,Hoodies & Sweatshirts,Unisex,259,White,"Cotton, Felt",Long,"M, L",50%,92,17,"5,0",https://shopee.vn/%C3%81o-kho%C3%A1c-hoodie-nam-n%E1%BB%AF-local-brand-unisex-c%E1%BA%B7p-%C4%91%C3%B4i-n%E1%BB%89-ngo%E1%BA%A1i-cotton-form-r%E1%BB%99ng-c%C3%B3-m%C5%A9-x%C3%A1m-%C4%91en-d%C3%A0y-cute-zip-CLOUDZY-HD-MINION-i.909107171.20885772817,CLOUDZY DRACULA
7,shopee,database/product/image010.png,Men's and women's hoodie jacket local brand unisex couple loose foreign cotton fleece jacket with cute thick dark gray hood zip CLOUDZY HD MINION,Hoodies & Sweatshirts,Unisex,259,Blue,"Cotton, Felt",Long,"M, L",50%,92,17,"5,0",https://shopee.vn/%C3%81o-kho%C3%A1c-hoodie-nam-n%E1%BB%AF-local-brand-unisex-c%E1%BA%B7p-%C4%91%C3%B4i-n%E1%BB%89-ngo%E1%BA%A1i-cotton-form-r%E1%BB%99ng-c%C3%B3-m%C5%A9-x%C3%A1m-%C4%91en-d%C3%A0y-cute-zip-CLOUDZY-HD-MINION-i.909107171.20885772817,CLOUDZY DRACULA
8,shopee,database/product/image011.png,Men's and women's hoodie jacket local brand unisex couple loose foreign cotton fleece jacket with cute thick dark gray hood zip CLOUDZY HD MINION,Hoodies & Sweatshirts,Unisex,259,Green,"Cotton, Felt",Long,"M, L",50%,92,17,"5,0",https://shopee.vn/%C3%81o-kho%C3%A1c-hoodie-nam-n%E1%BB%AF-local-brand-unisex-c%E1%BA%B7p-%C4%91%C3%B4i-n%E1%BB%89-ngo%E1%BA%A1i-cotton-form-r%E1%BB%99ng-c%C3%B3-m%C5%A9-x%C3%A1m-%C4%91en-d%C3%A0y-cute-zip-CLOUDZY-HD-MINION-i.909107171.20885772817,CLOUDZY DRACULA
9,shopee,database/product/image012.png,Men's and women's hoodie jacket local brand unisex couple loose foreign cotton fleece jacket with cute thick dark gray hood zip CLOUDZY HD MINION,Hoodies & Sweatshirts,Unisex,259,Black,"Cotton, Felt",Long,"M, L",50%,92,17,"5,0",https://shopee.vn/%C3%81o-kho%C3%A1c-hoodie-nam-n%E1%BB%AF-local-brand-unisex-c%E1%BA%B7p-%C4%91%C3%B4i-n%E1%BB%89-ngo%E1%BA%A1i-cotton-form-r%E1%BB%99ng-c%C3%B3-m%C5%A9-x%C3%A1m-%C4%91en-d%C3%A0y-cute-zip-CLOUDZY-HD-MINION-i.909107171.20885772817,CLOUDZY DRACULA
